questions,answers
good so we do not have to work how nice,but i do not think it s so nice
but i do not think it s so nice,why
yeah and the prices there are very high,i know three dollars for milk
i know three dollars for milk,do you think they two will get married
do you think they two will get married,you can count on it
you can count on it,i think so yes they get along so well
i think so yes they get along so well,i like him he s good for her
i like him he s good for her,you are right he sure is
you are right he sure is,dad where are we off to
good i will have hot chocolate,a stop wait for the lights to turn green
how about going to the cinema tonight,that is great what is on tonight
romantic i am afraid i like thrillers better,do not you think it s too bloody
do not you think it s too bloody,on the contrary very exciting
on the contrary very exciting,i feel so uncomfortable
i feel so uncomfortable,are you sick
i got it do you pay for the programs,yes yuan per month
yes yuan per month,oh no
oh no,how dreadful
how dreadful,look at the view from the window
it can t be helped,what do you do in your free time nancy
what do you do in your free time nancy,well i like playing the violin
well i like playing the violin,really how long have you been playing the violin
that is really interesting,sure so what about you do you have any hobbies
of course it does everybody has his own hobby,how can i tell her about this
how can i tell her about this,do not worry you will find a way
do not worry you will find a way,there is no need to be so frustrated
there is no need to be so frustrated,how can you live without job in the future
how can you live without job in the future,do not worry you will find a way
do not worry you will find a way,what sports do you like to play
what sports do you like to play,i like baseball and basketball
i like baseball and basketball,how about football
ok i will call you saturday morning,great
great,what upsets you
are you going to the party on saturday,i was thinking about it are you
really well what time does it start,it starts at
it starts at,well who all is going to be there
well who all is going to be there,everyone from school
so am i going to see you at the party,yeah i will be there
i will try it s hard,thanks for stopping by
thanks,i will never ever work together with him
i will never ever work together with him,what happened quarrel again
oh my god i have been cheated,what what did you buy
and it s a brick,yes
is the clock right,i am afraid it gains a little
i am afraid it gains a little,by how many minutes
by how many minutes,two
two,hey mary what is up
are you going to have a birthday party,maybe i will have to ask my mother
maybe i will have to ask my mother,it smells like an ashtray in here
fine i want a divorce,why are you shivering
why are you shivering,it s freezing
he is cute what dose he do,i am not sure he is a manager i think
i am not sure he is a manager i think,really are you going to introduce us
and why are you yarning now are you bored,forgive me darling i am very tired
forgive me darling i am very tired,hi nicole did you have a good weekend
hi nicole did you have a good weekend,yes i did but i feel tired today
yes i did but i feel tired today,really why
and i bet you studied too,yeah i studied on sunday evening what about you
that sounds like fun but did you exercise,sort of i played golf on my computer
what is the route,from zhongshan circus to city bank
from zhongshan circus to city bank,if only i could join it
oh dear,you must have realized somebody was here
i am going to japan this year on vacation,have you ever been to america
have you ever been to america,no but i would really like to
no but i would really like to,you would like it
you would like it,hey mark long time no see
really how was it,fantastic i did not want to come back
fantastic i did not want to come back,i hear the beaches in thailand are beautiful
did you have the room checked before we move in,which room are you in
not only that,tell me tell me what is your secret
i am very sorry i can not,why not
certainly,excuse me is this seat taken
excuse me is this seat taken,no please feel free
no please feel free,thanks a lot
thanks a lot,do you work in shanghai
do you work in shanghai,yes i do how about you
uh huh,look at this headline soo mi
look at this headline soo mi,wow so many people in the united states get divorced
wow so many people in the united states get divorced,is it the same in korea
do people get married young,not really very few people get married beforethe age of
not really very few people get married beforethe age of,hmm do women usually work after they get married
the beauty under the tree,of course no girl is more charming
of course no girl is more charming,she is a young man
she is a young man,excuse me where do i register
excuse me where do i register,oh over there in pacific pavilion
oh over there in pacific pavilion,is that the large white building
is that the large white building,yeah that is it
yeah that is it,thanks
thanks,how was your education going on in australia
how was your education going on in australia,i am going to graduate this summer
i hope i can practice self control again,what s the plot of your new movie
thank you very much for doing this interview,my pleasure have you seen the movie yet
who s that old lady trimming the trees,she is my grandma
she is my grandma,she is looks very healthy how old is she
she is looks very healthy how old is she,
,mom my legs are killing me
mom my legs are killing me,hold on we will be successful right away
well i feel a little tired,come on a little labor much health
zina can i talk to you about something personal,as long as it does not take too long
so what is the problem,mary how was your date with john
thank you steve you are always so encouraging,that is what friends are for
that is what friends are for,hi francis how was your business trip
hi francis how was your business trip,it was a nightmare
it was a nightmare,what s up
i am still waiting for their call,take it easy all sufferings have their reward
which pair of jeans do you like best,i really like the straight legs
i really like the straight legs,but they are not very fashionable what about these
if you ask me it s a walking invitation,hi charles what is the matter
do you have a ride home,yes my wife is coming to get me
yes my wife is coming to get me,that is good do you live near here
that is good do you live near here,no we live in the suburbs what about you
no we live in the suburbs what about you,i live downtown with my parents
i live downtown with my parents,do you have a car
do you have a car,i do not need a car i walk to work
i do not need a car i walk to work,you are lucky
you are lucky,happy anniversary sweetheart
always,what do you plan to do for your birthday
ok mum i will invite my friends home,how about seconds victor
how about seconds victor,no thanks i am full
no thanks i am full,why do not you have dinner with me tonight
why do not you have dinner with me tonight,i would love to
i would love to,let s say about
let s say about,that is ok with me
that is ok with me,cigarette
cigarette,oh uh thanks henry do you have a light
oh uh thanks henry do you have a light,sorry here
sorry here,thanks lovely day pity i m on duty
oh no i couldn t possibly,hi rose what are you busy with right now
well rose,is there something any need
is there something any need,are your free this weekend
are your free this weekend,yes i have nothing to do
yes i have nothing to do,great is it convenient if i visit you this weekend
great is it convenient if i visit you this weekend,i beg your pardon
really well ok you are welcome,is pm saturday a good time for you
is pm saturday a good time for you,hmm how about seven i can treat you to dinner
hmm how about seven i can treat you to dinner,sure that would be great i will bring the wine
sure that would be great i will bring the wine,ok then i will be expecting you
ok then i will be expecting you,i will be there on time
i will be there on time,how do you shoot pool
i would enjoy that,i will pick you up around
i will pick you up around,ok i will see you then
ok i will see you then,the mosquitos are biting me
do you have any bug spray,no i forgot to buy some
no i forgot to buy some,then we ll have to put up with it
that is exactly what i want thank you,okay can i ask you something direct
please excuse me but i really have to be going,yes of course it was nice to see you
excuse me is this seat taken,i am afraid so
i am afraid so,what do you think of the coming match
what do you think of the coming match,winning is a piece of cake to me
winning is a piece of cake to me,you are bragging again
you are bragging again,what would you reckon the taxing increases
what would you reckon the taxing increases,well the state will benefit a lot i suppose
well the state will benefit a lot i suppose,but what do most people think about it
but what do most people think about it,ah it s hard to say
well we will be careful thanks for letting me know,jack wonders whether linda likes him or not
jack wonders whether linda likes him or not,why does not he ask her
why does not he ask her,he is too scared to ask her
he is too scared to ask her,he is a chicken guy
what beg your pardon,john is in prison now he was copped outstealing
john is in prison now he was copped outstealing,i just can not believe my ears
i just can not believe my ears,what do you need
what do you need,i need to use the internet
i need to use the internet,you have your library card right
you have your library card right,yes i do
yes i do,there is a wait right now to use the computers
there is a wait right now to use the computers,that s fine
that s fine,would you please write your name on this list
would you please write your name on this list,then what
then what,i will call you when a computer is free
i will call you when a computer is free,how do i log on to the computer
how do i log on to the computer,use the number on the back of your library card
use the number on the back of your library card,thanks i ll be sitting over there
thanks i ll be sitting over there,what a nice tie you are wearing
what a nice tie you are wearing,thank you but does it really look all right
thank you but does it really look all right,certainly it matches your suit perfectly
certainly it matches your suit perfectly,then does it go well with my sweater
then does it go well with my sweater,yes you look very smart today
yes you look very smart today,thank you very much
thank you very much,what do you make of the case
what do you mean by saying so,i mean it s not his fault
i mean it s not his fault,oh yeah
happy mother s day mom,thanks these are beautiful you should not have
i have a real problem when i meet people,what is it maybe i can help
here s the restaurant we are meeting the smiths at,let s go in to wait for them
let s go in to wait for them,after you
after you,when do you usually go to the movies
are you telling us a lie again,i will be hanged if i lying
i will be hanged if i lying,all right but what was the trouble
all right but what was the trouble,my car run out of petrol
oh hi i am barbara johnson nice to meet you,i am sorry what is your name again
i am sorry what is your name again,barbara but please just call me barb
barbara but please just call me barb,so barb what do you do
so barb what do you do,i am studying medicine
i am studying medicine,really where
really where,at harvard what about you
at harvard what about you,i am an engineer at ibm
i am an engineer at ibm,oh are you that sounds interesting
good i am starving,wow i can not believe i am standing here
wow i can not believe i am standing here,what are you so excited about
no how much is it worth,about million dollars
about million dollars,whoa
whoa,hey maris are you a part timer
hey maris are you a part timer,part timer is that a new buzzword
sure i have a part time job as a bartender,cool it must be amazing to work at a bar
great i m looking forward to it,have you seen that house
have you seen that house,yes it looks interesting
yes it looks interesting,you are right i love it very much
you are right i love it very much,it must be old
it must be old,at least more than years old
at least more than years old,let s enter it
let s enter it,i can not open the door
i can not open the door,it must be locked
it must be locked,let me ask the old woman in that reception office
let me ask the old woman in that reception office,she can not answer you
she can not answer you,she must be deaf
she must be deaf,it must be a haunted house are you frightened
it must be a haunted house are you frightened,frightened you must be joking
frightened you must be joking,have you got any hobbies
it sure is,i can t wait to go there myself
i can t wait to go there myself,you would better prepare for the examination
you would better prepare for the examination,i do not think the exam will be very hard
what is the correct time please,it s exactly twelve minutes past seven
it s exactly twelve minutes past seven,when will the lecture begin
when will the lecture begin,it will begin at nine o clock sharp
it will begin at nine o clock sharp,should i ask sara to the party
should i ask sara to the party,i would if i were you
what is a sixties party,you come dressed in anything from the sixties
that will be great do you have lps or cds,do not tell me you have a record player
yeah where there is a will there is a way,i m so excited mother oh a new baby
i m so excited mother oh a new baby,my first grandchild
you often like comparing children with their parents,you re right
you re right,the music has started
the music has started,how do you like this waltz
how do you like this waltz,it s very nice
it s very nice,may i ask you for a dance
may i ask you for a dance,certainly
certainly,you are doing the waltz wonderfully well
what is it what happened,i think someone is stalking me
i think someone is stalking me,no it can not be really who
what did you do,he followed me all the way home
but i have an appointment with ann,ok sounds good but i think it s your trick
ok sounds good but i think it s your trick,what do you do in summer
pardon,what university would you enter
what university would you enter,university why you asked me last year
university why you asked me last year,oh i forget sorry
oh i forget sorry,i went to harvard university
i went to harvard university,did you and what course did you take there
i did a b a in economics remember,terrific b a again and again b a
terrific b a again and again b a,i have been chosen to plan the next family reunion
yep and i should start planning now,does everyone usually show up for your family reunions
how ay days will the reunion be,usually it s at least five days and four nights
usually it s at least five days and four nights,this is going to be a major production for you
this is going to be a major production for you,hi my name is lean and i am from russia
no wonder you say english is a crazy language,what did you think of the film
what did you think of the film,i liked it i thought it was great
i liked it i thought it was great,yes i liked it too did you like the acting
yes i liked it too did you like the acting,yes i thought it was excellent did not you
yes i thought it was excellent did not you,not really i thought it was disappointing
not really i thought it was disappointing,it s a nice cinema is not it
fine do you want anything to eat now,no i am not hungry
can i borrow your suit,that is out of the question
that is out of the question,bill how can you hear so happy today
really what was the matter,you knew brain locker
where are you from,i am from guangzhou
i am from guangzhou,where in china is guangzhou
where in china is guangzhou,it s in the south of china
ok goodbye,see you later
i highly doubt it your girlfriend is chinese,well there is that yes
well there is that yes,hey i am hungry how about you
i know one let s go,good morning miss li
good morning miss li,morning mike
morning mike,i m sorry that i was absent yesterday
i feel much better now,have you received the reading material handed out yesterday
have you received the reading material handed out yesterday,i ve already got it thanks
i will,do you like flowers
do you like flowers,of course i like
of course i like,what is your favorite flower
spring is a lively season,yes how about you
but it used to be ignored by many people,the bright people will remember it forever
what is the weather like today,it stops snowing but there s a bit wind
that is fine let s go skating together tomorrow,what kind of music do you like listening to
well i am a regular member of this club,do you have to pay to join
wow that much do not they have any public courses,very few unfortunately
very few unfortunately,how was your game today
how was your game today,extremely good i shot a including birdies
extremely good i shot a including birdies,congratulations what is your normal handicap
congratulations what is your normal handicap,ten how did your game go
the concert was really great,i agree
i agree,the singing group used to be very popular
the singing group used to be very popular,i can not believe they would play so good
thanks i would love to what time is the show,it s at
that sounds fine,is the chinese team taking the lead
is the chinese team taking the lead,no it s the japanese team
no it s the japanese team,japanese teams always play a dark horse
japanese teams always play a dark horse,well their team work is well worth learning
well their team work is well worth learning,do you mind if i ask your friend out
i know only too well what that is like,what do you mean
hi is that david,hi jenny it s david here
hi jenny it s david here,hey what is new
hey what is new,not much my girlfriend just dumped me
not much my girlfriend just dumped me,sorry to hear that what happened
hey she is not worth it forget her,but she lied to me
cut out would you,when s your birthday
when s your birthday,it s just around the corner
it s just around the corner,bob is getting on in years
bob is getting on in years,yeah i am very worried about his health
yeah i am very worried about his health,he looks tired all the time
he looks tired all the time,he is working too hard
he is working too hard,which church do you attend
do you believe that mormons have all of it,yes
yes,why do you really go to church
that is okay better late than never,hello what are you reading about in the newspaper
hi tom want to go to play bowling tonight,sounds good when and where shall we meet
fine see you then,are there many idioms in english
do you know where i can park,do you need a spot here or off campus
do you need a spot here or off campus,i want a space on campus
i want a space on campus,there s a parking structure for students
there s a parking structure for students,where can i find it
when was that,sometime this morning
sometime this morning,would it be full now
would it be full now,i am really not sure
i am really not sure,have you heard of the love bug
i am confused by what he said,why do you say that
where are you going,i m going to the hospital
i m going to the hospital,what s the matter
what s the matter,professor wang was hurt in a traffic accident
professor wang was hurt in a traffic accident,that s too bad how are things now
want to meet for lunch this saturday,sorry i can not i am busy
sorry i can not i am busy,what are you doing
she s a librarian at the public library,really and chris she was a very pretty little girl
really where does he live now,colorado
colorado,and does rocky drive a truck too
and does rocky drive a truck too,oh no rocky is a pilot
yes mostly to england and france,merry christmas linda
merry christmas linda,merry christmas lee
thank you for coming i am glad you liked it,where is your better half
where is your better half,she is at home
she is at home,look there are some words on the fish
ok i understand but what else could we do,who s singing in your home jim
who s singing in your home jim,it s ellie and her friends
it s ellie and her friends,who s ellie
oh i see how old is she,she is ten
she is ten,i suppose they are playing games
today,today
today,yes
yes,well imagine that how old are you
very much what time,about
about,i will be at your house at about happy birthday
i will be at your house at about happy birthday,well it was nice meeting you
well it was nice meeting you,yes i hope we meet again
yes i hope we meet again,sure i will give you a call
sure i will give you a call,okay
such a thing exists,fortunately yes you are blushing
did you get any rewards or honors in college,yes i received the scholarship times on end
yes i received the scholarship times on end,did you join the communist party of china cpc
did you join the communist party of china cpc,yes i joined the cpc when i was a freshman
i have confidence in them,the weekend s finally here
hi martin i ve been looking for you all morning,what s up
america did you get admit to mit,yes
yes,congratulations susan i m so happy for you
congratulations susan i m so happy for you,thank you
thank you,really going to miss you
ok take care have a nice journey,thank you
thank you,look after yourself bye
look after yourself bye,bye
did you see ally mabel last night,yes i did did you
yes i did did you,yes was not it funny
ha yes brilliant,look out your tea water is running over
sure,thanks
thanks,did you see may today
did you see may today,yes but why does she have such a long face
yes but why does she have such a long face,i do not have the foggiest idea
i do not have the foggiest idea,i thought she would be happy
i thought she would be happy,yeah especially since she got a promotion recently
don t bother i will help myself,make yourself at home
make yourself at home,it is such a nice place
steven would you like to go dance with us tonight,john i am just not in the mood for this
john i am just not in the mood for this,you look so upset what is going on
you look so upset what is going on,i lost the table tennis game yesterday
i lost the table tennis game yesterday,oh what a pity
you are dancing so well,you dance beautifully too
you dance beautifully too,when did you learn to dance
thank you for the dance,my pleasure let s go and have a drink
my pleasure let s go and have a drink,ok
i just had a terrible week,what a shame
what a shame,i fell down and hurt my arm
i fell down and hurt my arm,that is too bad
that is too bad,then my son drove into a tree
then my son drove into a tree,i am sorry to hear that
i am sorry to hear that,the dog bit the delivery boy
the dog bit the delivery boy,what a pity
what a pity,and a storm blew our roof away
and a storm blew our roof away,ho no
ho no,i m so excited mother oh a new baby
you re right,when do you go to bed usually
that is helpful for your health,sure
sure,have you been ever been to disneyworld
can you speak french,yes i can but not very well
yes i can but not very well,can you understand your spanish teacher
you look better today how did your test go,much better than it did yesterday
much better than it did yesterday,did you pass
did you always do well at school,no in fact i was terrible at taking exams
no in fact i was terrible at taking exams,really
i will get my finals in two months,when do you plan on studying for those exams
when do you plan on studying for those exams,most students just cram the night forehead
most students just cram the night forehead,do you think that is a good idea
it sounds like you have learned something useful this year,can i borrow your cds for our school dance
can i borrow your cds for our school dance,oh you do not ask much do you
do you want to go to the beach tonight,sure which beach are we going to
sure which beach are we going to,i wanted to go to malibu beach
i wanted to go to malibu beach,i like santa monica
i like santa monica,the water there looks so dirty
the water there looks so dirty,i just like the pier they have at santa monica
so you want to go to malibu,if that is okay with you
if that is okay with you,sure let s go to malibu
yeah i went to california to study,really how long did you stay there
really how long did you stay there,i was there between and
i was there between and,and what did you do after that
what can i do for you,i am trying to find this book
i am trying to find this book,what s the problem
what s the problem,it doesn t seem like this library has it
it doesn t seem like this library has it,have you checked the computer
have you checked the computer,i have already
i have already,what did it say
i can always borrow the book from another library,you can do that
that s fantastic thank you,abc rent a car may i help you
we have volkswagen pinto plymouth and datsun,what is the rate
all right sir may i have your driver s license,here you are
sure i would love to,which film shall we see
yes that is true,how long is the holiday
how long is the holiday,it depends but usually it s about days
it depends but usually it s about days,do you eat any special food for the festival
i am sure you will have a good time,i am really sick of waiting for a bus
i am really sick of waiting for a bus,yeah especially when you have something urgent to do
yeah especially when you have something urgent to do,but a taxi costs too much
but a taxi costs too much,that is true
how did you get that burn again,i scalded on the hot coffee a few days ago
i scalded on the hot coffee a few days ago,you have not had much luck lately have you
you have not had much luck lately have you,no but i am sure i will get better soon
no but i am sure i will get better soon,when s the last time you took your tablets
you are not looking happy what s the matter,oh nothing special i am just a bit tired
oh nothing special i am just a bit tired,with the job
with the job,with everything with everybody with all this
with everything with everybody with all this,a good suggestion for you you need a holiday
a good suggestion for you you need a holiday,it was not always like this you know
it was not always like this you know,what do you mean
you need a holiday that s what is the matter,certainly perhaps
well thanks for the suggestions,oh do not mention it
oh do not mention it,dad what is the date
dad what is the date,it s december eighteenth
it s december eighteenth,in seven days it will be christmas day
in seven days it will be christmas day,yes i know that
sure a promise is a promise,what happen john
what happen john,nothing
nothing,why do you look unhappy
oh cheer up he ll understand you,this man is your fiance dolly
this man is your fiance dolly,yeah how do you like him
yeah how do you like him,he is handsome
he is handsome,can you give me a touch of his character
hawaii my dream honeymoon destination,you got it we will fly there directly from texas
you got it we will fly there directly from texas,oh jack that is wonderful
oh jack that is wonderful,the world changes the family changes too
the world changes the family changes too,what do you mean
that is called a nuclear family,i do not like such a family
i do not like such a family,what kind of family are you like
we can live well i think,what was that all about
what was that all about,we had a difference of opinion
we had a difference of opinion,is she going to be okay
is she going to be okay,she will be fine
she will be fine,is sailing fun
is sailing fun,you bet
you bet,john dates her seven times a week
john dates her seven times a week,really that is a straws in the wind
really that is a straws in the wind,i think so maybe he is fallen for her
good morning loans,good morning mr smith
good morning mr smith,i would like to compliment you on your diligence
yes and we are proud of you loans,it s nice of you to say so
it s nice of you to say so,which countries have you been to
alison would you like to have some more,no thanks i have had enough
no thanks i have had enough,actually you have not have much
actually you have not have much,to tell you the truth i am on the diet
to tell you the truth i am on the diet,that sounds ridiculous why
thank you shall i open it now,yes please do
hi it is a pleasant surprise,yeah it s been ages so how have you been
yeah it s been ages so how have you been,couldn t be better and you
couldn t be better and you,just as usual you know
just as usual you know,hey mary can you cut that out
hey mary can you cut that out,cut what out i m not doing anything
the weather in beijing is just beautiful,autumn is the best season in beijing you know
autumn is also very nice in washington,is it very cold in winter there
ok,lousy weather is not it
lousy weather is not it,it has stopped snowing but it s even colder
it has stopped snowing but it s even colder,look at the ice there hanging from the eaves
look at the ice there hanging from the eaves,and the streets are covered with snow
and the streets are covered with snow,do you know what the temperature is today
do you know what the temperature is today,i missed today s weather forecast over the tv
ok they begin to register,it s time i left
much better than mine,what are your hours
i went to yale university,did you and what did you study
did you and what did you study,i have a b a in economics
i have a b a in economics,would you mind telling me how old you are
would you mind telling me how old you are,i am twenty seven
and what was your salary at the bank,i got a week
i got a week,hi jane how are you doing this morning
hi jane how are you doing this morning,i am all right thanks just a little tired
i am all right thanks just a little tired,late night
late night,yeah i got home around two
what do you do for a living,i m a doctor
i m a doctor,really do you like it
i m a bus driver,oh do you enjoy it
oh do you enjoy it,no i don t really like it it s boring
no i don t really like it it s boring,what a nice garden look at these tulips
thanks could you take one more from this angle,no problem
no problem,now let s have one together
now let s have one together,do you know how to set the timer
ok let s have a try,cheese
cheese,did it come out
did it come out,yes but it s blurred and a little dark
ok let s go,did you watch television last night charles
did you watch television last night charles,yes i did
yes i did,it was a good game was not it
how did it finish,it finished in a draw what was the film like
hey vernassa why be angry look,it s the new neighbor i hate her guts
she made another white crack about my clothes,are you sure she was trying to put you down
are you sure she was trying to put you down,of course i am sure
of course i am sure,you shall go easy on her she is new here
you shall go easy on her she is new here,just how am i supposed to do that
just how am i supposed to do that,you shall just take it in surprise
you shall just take it in surprise,i have tried but she keeps pushing my buttons
i am not she is no picnic,well if you think i can help let me know
well if you think i can help let me know,thanks serena
thanks serena,i m forming a music band
i m forming a music band,do you already know how to play an instrument
oh thanks a lot,what time are you leaving
what airline and what flight,pan american airlines flight
hello friendship restaurant may i help you,i would like to book a table tonight
i would like to book a table tonight,yes sir for how many people please
yes sir for how many people please,eight
eight,what time
maybe not thank you all the same then,hey zina you are here early today
fair enough keep up the good work,that is the most beautiful sunset
mother nature is quite an artist,look behind us at the mountains they are reflecting pink
sure where would you suggest,how about going to the suburbs
how about going to the suburbs,sounds good
sounds good,why did not you tell me you had a girlfriend
why did not you tell me you had a girlfriend,sorry i thought you knew
did not i,you know you did not
you know you did not,well i am telling you now
well i am telling you now,yes but you might have told me before
yes but you might have told me before,i did not think you would be interested
sorry i did not think it mattered,oh you men you are all the same
oh you men you are all the same,hi bill
hi bill,hi jim
where is tom this evening,he is a little sick under the weather
he is a little sick under the weather,really what is the matter with him
really what is the matter with him,he has the flu
he has the flu,tell him i was asking about him
tell him i was asking about him,i will
i will,maybe you should talk to the teacher
maybe you should talk to the teacher,no it s no use
no it s no use,you never know unless you try
you never know unless you try,i know she will not change my grade
i know she will not change my grade,well i finished my last final today
no those you have to provide for yourself,what do most of the students do
hold it a second i want to fix my hairpin,it does not matter say cheese
it does not matter say cheese,here s lisa may i take a picture with her
here s lisa may i take a picture with her,certainly ok got you
certainly ok got you,do you mind if i ask you a question
do you mind if i ask you a question,no not at all go ahead
no not at all go ahead,what do you do in order to improve your english
good morning sue,good morning tom how are you
good morning tom how are you,i am fine thanks how about yourself
i am fine thanks how about yourself,things could not be better where are you going now
see you later alligator,after a while crocodile
hurry up time is running out,i see i have run as fast as i can
i see i have run as fast as i can,hi cody how did practicing go this week
can you tell me the time,it s by my watch
it s by my watch,is your watch right
are you angry lisa,angry why would i be
angry why would i be,please do not tell my mom
thank you so much lisa,hi mary long time no see
hi mary long time no see,i heard through the grapevine that your getting married
i heard through the grapevine that your getting married,yes next march
yes next march,congratulations i hope everything works out
congratulations i hope everything works out,jim and you are bosom friends are not you
jim and you are bosom friends are not you,i would not say so
i would not say so,what do you mean
is everything alright,yes everything is fine
that sounds like a nightmare,it was not too bad at lease i am alive
it was not too bad at lease i am alive,have you had anything to eat
no thank you,that is the most important thing
i appreciate that thank you,what date is it today
what date is it today,today is december
today is december,oh the day after tomorrow is christmas
oh the day after tomorrow is christmas,merry christmas to you
merry christmas to you,hello i am penny i moved here just now
